id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1260479208431792129,1260479208431792129,1589356636000,2020-05-13,09:57:16,W. Europe Daylight Time,33721464,richardbellars,Richard Bellars,,"Our Modern-Day Vesuvius: Four other troubling curves predated this crisis. We need to start flattening them now.
#FlattenTheCurve #MentalHealth #ClimateAction  https://thriveglobal.com/stories/arianna-huffington-chronic-disease-mental-health-structural-inequalities-coronavirus-crisis/ …",[],['https://thriveglobal.com/stories/arianna-huffington-chronic-disease-mental-health-structural-inequalities-coronavirus-crisis/'],[],0,1,0,"['#flattenthecurve', '#mentalhealth', '#climateaction']",[],https://twitter.com/richardbellars/status/1260479208431792129,False,,0,,,,,,,"[{'user_id': '33721464', 'username': 'richardbellars'}]",,,,
1260478159436296193,1260478159436296193,1589356386000,2020-05-13,09:53:06,W. Europe Daylight Time,42628521,harjeet11,Harjeet Singh,,"Great to have @LicypriyaK & @vanessa_vash speaking at the #SchoolStrike4Climate in Australia on 15th May from 4:00-8:00pm, Sydney Time (GMT+10:00).

Register here to attend:  https://www.schoolstrike4climate.com/may15 
#BuildaBetterFuture #ClimateJustice #ClimateAction #ClimateActionNow pic.twitter.com/x1uahbeRGH","['licypriyak', 'vanessa_vash']",['https://www.schoolstrike4climate.com/may15'],['https://pbs.twimg.com/media/EX4aO33XsAkvo3J.jpg'],0,5,6,"['#schoolstrike4climate', '#buildabetterfuture', '#climatejustice', '#climateaction', '#climateactionnow']",[],https://twitter.com/harjeet11/status/1260478159436296193,False,,0,,,,,,,"[{'user_id': '42628521', 'username': 'harjeet11'}, {'user_id': '1124022135335325696', 'username': 'LicypriyaK'}, {'user_id': '1134059457191776257', 'username': 'vanessa_vash'}]",,,,
1260477965554659328,1260477965554659328,1589356340000,2020-05-13,09:52:20,W. Europe Daylight Time,146620155,faoclimate,FAO Climate Change,,"RT @FAO: The degradation of the 🌍's soils has released about 78 billion tonnes of carbon into the atmosphere!

Yet, healthy #soils are one of our biggest allies against climate change! We need to protect the ground beneath our feet. 

#ClimateAction  pic.twitter.com/YNTLYhhfXw",['fao'],[],['https://pbs.twimg.com/media/EX4eB7WWsAEtA5G.jpg'],1,15,28,"['#soils', '#climateaction']",[],https://twitter.com/FAOclimate/status/1260477965554659328,False,,0,,,,,,,"[{'user_id': '146620155', 'username': 'FAOclimate'}, {'user_id': '19649135', 'username': 'FAO'}]",,,,
1260477807685185537,1260477807685185537,1589356302000,2020-05-13,09:51:42,W. Europe Daylight Time,549692104,brianettling,Brian Ettling,,"Good article by Dr. @johnfocook  about using humor and games to overcome science denial, especially with #climatechange. #ActOnClimate #ClimateAction #climate https://skepticalinquirer.org/2020/05/using-humor-and-games-to-counter-science-misinformation/ …",['johnfocook'],['https://skepticalinquirer.org/2020/05/using-humor-and-games-to-counter-science-misinformation/'],[],0,3,4,"['#climatechange', '#actonclimate', '#climateaction', '#climate']",[],https://twitter.com/BrianEttling/status/1260477807685185537,False,,0,,,,,,,"[{'user_id': '549692104', 'username': 'BrianEttling'}, {'user_id': '830875096780771328', 'username': 'johnfocook'}]",,,,
1260477571239739393,1260477571239739393,1589356246000,2020-05-13,09:50:46,W. Europe Daylight Time,168321389,vegix,🌿 𝕍𝕖𝕘𝕒𝕟𝕚𝕔 🌿,,"Northern cardinals have their very existence threatened by #ClimateChange. 🐦

According to a recent study, the species would be vulnerable to extinction by the end of the century. ☹️
#BeTheChange4Earth🌎 and take #ClimateAction.

 https://www.wsls.com/weather/2020/05/11/beyond-the-forecast-spring-climate-change-may-threaten-virginias-state-bird/ …",[],['https://www.wsls.com/weather/2020/05/11/beyond-the-forecast-spring-climate-change-may-threaten-virginias-state-bird/'],[],12,67,81,"['#climatechange', '#bethechange4earth', '#climateaction']",[],https://twitter.com/vegix/status/1260477571239739393,False,,0,,,,,,,"[{'user_id': '168321389', 'username': 'vegix'}]",,,,
1260474771374067712,1260474771374067712,1589355578000,2020-05-13,09:39:38,W. Europe Daylight Time,423694697,mariganello,Marianne Ariganello,,While I am challenging myself to look at system changes for #climateaction. This is a great guide for personal actions  https://twitter.com/globalecoguy/status/1253145266414219264 …,[],['https://twitter.com/globalecoguy/status/1253145266414219264'],[],0,1,1,['#climateaction'],[],https://twitter.com/MAriganello/status/1260474771374067712,False,https://twitter.com/GlobalEcoGuy/status/1253145266414219264,0,,,,,,,"[{'user_id': '423694697', 'username': 'MAriganello'}]",,,,
1260474480700334081,1260474480700334081,1589355509000,2020-05-13,09:38:29,W. Europe Daylight Time,1240471668205801478,forourkidso,ForOurKids_Ottawa,,"“Solving our biggest environmental problems will require huge changes in policy and business practice. But it turns out that our personal actions can help too, if we focus on the right things. Here are some places to start.” #climateaction  https://twitter.com/globalecoguy/status/1253145266414219264 …",[],['https://twitter.com/globalecoguy/status/1253145266414219264'],[],0,0,0,['#climateaction'],[],https://twitter.com/ForourkidsO/status/1260474480700334081,False,https://twitter.com/GlobalEcoGuy/status/1253145266414219264,0,,,,,,,"[{'user_id': '1240471668205801478', 'username': 'ForourkidsO'}]",,,,
1260473481201889280,1260473481201889280,1589355271000,2020-05-13,09:34:31,W. Europe Daylight Time,498700046,pacja1,PACJA,,"""In spite of what is happening we must continue to take care of the environment. Bidco to plant 1m bamboo trees in Mt Kenya region,"" says John Kariuki of Bidco. @BiovIntCIAT_Lib @UNEP_Africa @Bidco #BambooForOurPlanet #ClimateAction","['biovintciat_lib', 'unep_africa', 'bidco']",[],[],0,4,5,"['#bambooforourplanet', '#climateaction']",[],https://twitter.com/PACJA1/status/1260473481201889280,False,,0,,,,,,,"[{'user_id': '498700046', 'username': 'PACJA1'}, {'user_id': '44105061', 'username': 'BiovIntCIAT_Lib'}, {'user_id': '802176524', 'username': 'UNEP_Africa'}, {'user_id': '93912806', 'username': 'bidco'}]",,,,
1260473445189660672,1260473445189660672,1589355262000,2020-05-13,09:34:22,W. Europe Daylight Time,226310002,iam__network,IAM Platform,,"How COVID-19 Strategies Can Help Fight Climate Change – GC Capital Ideas 

READ MORE:  https://blog.iammarketingmedia.com/how-covid-19-strategies-can-help-fight-climate-change-gc-capital-ideas/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#Adaptation #Antarctica #Arctic #CarbonDioxide #ClimateAction #ClimateChange #ClimateScience #climatology #Companies #Environment~ pic.twitter.com/8hEbZ4MPtR",[],['https://blog.iammarketingmedia.com/how-covid-19-strategies-can-help-fight-climate-change-gc-capital-ideas/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],['https://pbs.twimg.com/media/EX4Z6w_XYAMRsVq.jpg'],0,1,1,"['#adaptation', '#antarctica', '#arctic', '#carbondioxide', '#climateaction', '#climatechange', '#climatescience', '#climatology', '#companies', '#environment']",[],https://twitter.com/IAM__Network/status/1260473445189660672,False,,0,,,,,,,"[{'user_id': '226310002', 'username': 'IAM__Network'}]",,,,
1260473389669658624,1259953904005132288,1589355249000,2020-05-13,09:34:09,W. Europe Daylight Time,1014967187914874880,osean_ottawa,OSEAN,,This is an amazing tool. Would love to find someone in #ottawa who will take this training #climateaction #training #buildingcapacity,"['bethsawin', 'climateinteract']",[],[],0,0,0,"['#ottawa', '#climateaction', '#training', '#buildingcapacity']",[],https://twitter.com/OSEAN_Ottawa/status/1260473389669658624,False,,0,,,,,,,"[{'user_id': '1014967187914874880', 'username': 'OSEAN_Ottawa'}, {'user_id': '79749258', 'username': 'bethsawin'}, {'user_id': '74801995', 'username': 'climateinteract'}]",,,,
1260471867045011456,1260471867045011456,1589354886000,2020-05-13,09:28:06,W. Europe Daylight Time,20662440,philsturgeon,Tree Sturgeon 🚴🏻‍♂️🌍🔥,,"DAMN SON, @eden_reforest are on fire. In April (this one, the awful one) they planted another 12,394,948 trees! That's bloody impressive and you should support it. This is where your @offsetearth trees are being planted btw. 🥳 #ClimateAction  https://www.youtube.com/watch?v=zME9JhussIo … pic.twitter.com/b9Nwkt9MuS","['eden_reforest', 'offsetearth']",['https://www.youtube.com/watch?v=zME9JhussIo'],"['https://pbs.twimg.com/media/EX4YesbWsAERGSY.jpg', 'https://pbs.twimg.com/media/EX4YepXXYAkorIj.jpg', 'https://pbs.twimg.com/media/EX4YewiWsAIj3hz.jpg']",0,1,4,['#climateaction'],[],https://twitter.com/philsturgeon/status/1260471867045011456,False,,0,,,,,,,"[{'user_id': '20662440', 'username': 'philsturgeon'}, {'user_id': '67136334', 'username': 'eden_reforest'}, {'user_id': '1096383074336673792', 'username': 'OffsetEarth'}]",,,,
1260471404014829568,1260471404014829568,1589354775000,2020-05-13,09:26:15,W. Europe Daylight Time,862661148528783361,tt_liverpool,Transition Liverpool,,"Talking climate change can seem like such a daunting and impossible task, but each journey starts with a single step. #ClimateAction  https://twitter.com/transitiontowns/status/1260122637382094848 …",[],['https://twitter.com/transitiontowns/status/1260122637382094848'],[],0,1,2,['#climateaction'],[],https://twitter.com/TT_Liverpool/status/1260471404014829568,False,https://twitter.com/transitiontowns/status/1260122637382094848,0,,,,,,,"[{'user_id': '862661148528783361', 'username': 'TT_Liverpool'}]",,,,
1260471300012879876,1260471300012879876,1589354751000,2020-05-13,09:25:51,W. Europe Daylight Time,498700046,pacja1,PACJA,,"We have the power in the roots, stems and leaves of bamboo trees to save our environment. We are kicking off a tree-planting exercise in the East of Mt Kenya region in Kenya. #BambooForOurPlanet #ClimateAction @oxfamnovib @WBG_Climate @KCCWG @pamacc1 @CNNAfrica @AfDB_Group","['oxfamnovib', 'wbg_climate', 'kccwg', 'pamacc1', 'cnnafrica', 'afdb_group']",[],[],0,3,3,"['#bambooforourplanet', '#climateaction']",[],https://twitter.com/PACJA1/status/1260471300012879876,False,,0,,,,,,,"[{'user_id': '498700046', 'username': 'PACJA1'}, {'user_id': '14395233', 'username': 'oxfamnovib'}, {'user_id': '16544818', 'username': 'WBG_Climate'}, {'user_id': '905890250', 'username': 'KCCWG'}, {'user_id': '2899805213', 'username': 'pamacc1'}, {'user_id': '56891751', 'username': 'CNNAfrica'}, {'user_id': '96735431', 'username': 'AfDB_Group'}]",,,,
