scenario,accuracy,auc,params
BOW_scaled,0.9050527484730705,0.9678433000046005,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}"
BIGRAMS_scaled,0.9050527484730705,0.9678433000046005,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}"
FBOW_scaled,0.9039422543031649,0.9676744518905878,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}"
TF_IDF_scaled,0.9000555247084953,0.9646827891855417,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}"
